run_id,job_id,run_number,analysis_text,model_name,framework,timestamp,cost,duration_seconds,success,model_parameters,well_unity,well_justice,well_liberty,well_security,well_tradition,well_civic_duty,well_prosperity,well_moral_leadership,narrative_x,narrative_y
stub_test_20250606_221721_run_5,stub_test_20250606_221721,5,"This is a detailed fake analysis for run 5. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.200, 0.205 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:17:21.906086,0.0167,7.7,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.72,0.8049999999999999,0.7300000000000001,0.7699999999999999,0.765,0.765,0.85,0.8099999999999999,0.2,0.20500000000000002
stub_test_20250606_221721_run_4,stub_test_20250606_221721,4,"This is a detailed fake analysis for run 4. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.190, 0.210 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:17:21.901986,0.0167,7.4,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.73,0.79,0.7200000000000001,0.7799999999999999,0.74,0.77,0.83,0.7899999999999999,0.19,0.21000000000000002
stub_test_20250606_221721_run_3,stub_test_20250606_221721,3,"This is a detailed fake analysis for run 3. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.180, 0.215 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:17:21.897900,0.0167,7.1,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.74,0.775,0.7100000000000001,0.7899999999999999,0.7150000000000001,0.775,0.81,0.77,0.18,0.21500000000000002
stub_test_20250606_221721_run_2,stub_test_20250606_221721,2,"This is a detailed fake analysis for run 2. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.170, 0.220 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:17:21.892806,0.0167,6.8,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.75,0.76,0.7000000000000001,0.7999999999999999,0.6900000000000001,0.78,0.79,0.75,0.16999999999999998,0.22
stub_test_20250606_221721_run_1,stub_test_20250606_221721,1,"This is a detailed fake analysis for run 1. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.160, 0.225 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:17:21.887390,0.0167,6.5,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.76,0.745,0.6900000000000001,0.8099999999999999,0.665,0.785,0.77,0.73,0.16,0.225
stub_test_20250606_221655_run_5,stub_test_20250606_221655,5,"This is a detailed fake analysis for run 5. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.200, 0.205 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:16:55.216763,0.0167,7.7,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.72,0.8049999999999999,0.7300000000000001,0.7699999999999999,0.765,0.765,0.85,0.8099999999999999,0.2,0.20500000000000002
stub_test_20250606_221655_run_4,stub_test_20250606_221655,4,"This is a detailed fake analysis for run 4. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.190, 0.210 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:16:55.212994,0.0167,7.4,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.73,0.79,0.7200000000000001,0.7799999999999999,0.74,0.77,0.83,0.7899999999999999,0.19,0.21000000000000002
stub_test_20250606_221655_run_3,stub_test_20250606_221655,3,"This is a detailed fake analysis for run 3. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.180, 0.215 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:16:55.208733,0.0167,7.1,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.74,0.775,0.7100000000000001,0.7899999999999999,0.7150000000000001,0.775,0.81,0.77,0.18,0.21500000000000002
stub_test_20250606_221655_run_2,stub_test_20250606_221655,2,"This is a detailed fake analysis for run 2. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.170, 0.220 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:16:55.203634,0.0167,6.8,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.75,0.76,0.7000000000000001,0.7999999999999999,0.6900000000000001,0.78,0.79,0.75,0.16999999999999998,0.22
stub_test_20250606_221655_run_1,stub_test_20250606_221655,1,"This is a detailed fake analysis for run 1. The speaker demonstrates strong civic virtue themes with particular emphasis on prosperity and security. The narrative gravitates toward 0.160, 0.225 in the elliptical space.",claude-3-5-sonnet,civic_virtue,2025-06-06 22:16:55.198880,0.0167,6.5,True,"{'max_tokens': 2000, 'temperature': 0.3}",0.76,0.745,0.6900000000000001,0.8099999999999999,0.665,0.785,0.77,0.73,0.16,0.225
